MKATABA WA MAKABIDHIANO YA PIKIPIKI	MOTORCYCLE HANDOVER AGREEMENT
Makubaliano haya yameafikiwa leo tarehe 3 mwezi Machi 2026	This agreement was made today, the 3rd day of March 2026
KATI YA	BETWEEN
Juma Hassan Mwakalinga Mkazi wa Kariakoo wilaya ya Ilala mkoa Dar es Salaam mwenye nambari ya NIDA 00000000-00000-00000-00 ambaye katika makubaliano haya ataitwa ("Dereva" neno ambalo litajumuisha na warithi wake) kwa upande mmoja.	Juma Hassan Mwakalinga, resident of Kariakoo, Ilala district, Dar es Salaam region, holder of NIDA number 00000000-00000-00000-00, who in this agreement shall be called ("the Driver", a term which shall include his/her heirs) of the one part.
NA	AND
Mfano Fleet Ltd ya Barabara ya Mandela, Kariakoo, Dar es Salaam (ajulikanae kama "Mmiliki" neno ambalo litawajumuisha na Warithi wake) kwa upande mwingine.	Mfano Fleet Ltd of Barabara ya Mandela, Kariakoo, Dar es Salaam (known as "the Owner", a term which shall include its Heirs) of the other part.
KWA KUWA MMILIKI ni Mmiliki halali wa TVS iliyosajiliwa kwa namba T 456 DEF yenye chasisi namba MH1JF5011KK098765 aina ya HLX 125 yenye rangi ya Nyekundu yenye thamani ya shilingi za kitanzania milioni moja na laki nane (1,800,000/=)	WHEREAS THE OWNER is the lawful Owner of a TVS registered under number T 456 DEF, with chassis number MH1JF5011KK098765, model HLX 125, colour Nyekundu, with a value of Tanzanian shillings 1,800,000/=
NA KWA KUWA Mmiliki na Dereva wamekubaliana kuingia katika makubaliano haya kwa masharti yaliyoorodheshwa katika Mkataba huu.	AND WHEREAS the Owner and the Driver have agreed to enter into this agreement on the terms set out in this Contract.
MKATABA huu utaanza rasmi tarehe 3 mwezi Machi 2026 na utaisha tarehe 3 mwezi Machi 2027	This AGREEMENT shall officially begin on 3 March 2026 and shall end on 3 March 2027
MASHARTI YA MKATABA	TERMS OF THE AGREEMENT
1. Makabidhiano ya mkataba huu ni kwamba dereva atalazimika kuwasilisha kwa mmiliki mapato ya kiasi cha shilingi elfu kumi na mbili (12,000) TZS kila siku baada ya tarehe ya mkataba huu kwa siku mia moja thelathini na tatu (133) mfululizo. Malipo yote yatafanyika kila siku kupitia nambari ya akaunti ya NMB 0000000000 Mfano Fleet Ltd au Lipa namba 000000 (Azam Pesa) au M-Pesa namba +255700000001. Jumla ya marejesho yote ni shilingi za kitanzania milioni moja na laki sita (1,600,000/=), yaani siku mia moja thelathini na tatu (133) kwa shilingi elfu kumi na mbili (12,000/=) kila siku na siku ya mwisho shilingi elfu nne (4,000/=).	1. The obligation under this agreement is that the Driver must remit to the Owner proceeds of shillings 12,000 TZS every day after the date of this agreement, for 133 consecutive days. All payments shall be made daily via NMB account number 0000000000, Mfano Fleet Ltd or Lipa number 000000 (Azam Pesa) or M-Pesa number +255700000001. The total of all remittances is Tanzanian shillings 1,600,000/=, being 133 days at 12,000/= each day and a final day of 4,000/=.
2. Marejesho ya kila siku ni LAZIMA kinyume na hapo dereva kama hajatoa taarifa juu ya sababu ya kutofanya hivo kwa msimamizi wake, basi atalazimika kulipa faini ya Tsh elfu mbili (2,000/=) ili kuendelea na mkataba, lakini pia, kutofanya malipo kwa siku tano (5) mfululizo dereva atakuwa amevunja mkataba wetu na chombo kitachukuliwa na mmiliki.	2. The daily remittance is MANDATORY; if the Driver has not given their supervisor the reason for failing to do so, then he/she must pay a fine of Tsh 2,000/= to continue the agreement, but also, failing to pay for 5 consecutive days shall mean the Driver has breached our agreement and the vehicle will be taken by the Owner.
3. Dereva anabidi kupatikana katika mawasiliano na msimamizi wake kila anapotafutwa au kutoa udhuru na namba ya mtu wake wa karibu ikiwa hayuko hewani ambayo ni:	3. The Driver must be reachable by their supervisor whenever sought, or give a reason, along with the number of their next of kin in case they are unreachable, which is:
Jina: Zainabu Hassan Mwakalinga    Namba ya simu: +255700000000	Name: Zainabu Hassan Mwakalinga    Phone Number: +255700000000
Sahihi: ______________    Mahali anapoishi: Kariakoo, Ilala, Dar es Salaam	Signature: ______________    Residence: Kariakoo, Ilala, Dar es Salaam
Tarehe __/__/20__	Date __/__/20__
Mabadiliko ya mawasiliano ya mtu wa karibu yafanywe mapema kabla ya udhuru kujitokeza.	Changes to next-of-kin contact details should be made in advance, before the need arises.
4. Iwapo bodaboda itaharibika kwa makosa yasiyotokana na uzembe wa dereva mmiliki atalazimika kuitengeneza wala dereva hatohusika kwa namna yoyote ile.	4. If the motorcycle breaks down due to a fault not caused by the Driver's negligence, the Owner shall be responsible for repairing it and the Driver shall not be liable in any way.
Iwapo bodaboda itaharibika ama kupotea kwa uzembe wa dereva, dereva atalazimika kuitengeneza ama kuilipa.	If the motorcycle breaks down or is lost due to the Driver's negligence, the Driver shall repair it or pay for it.
5. Ni marufuku kutoa ama kuazimisha pikipiki kwa mtu asiyehusika kwenye mkataba huu na Mmiliki ana haki ya kukagua pikipiki endapo atahitaji.	5. It is forbidden to give out or lend the motorcycle to a person not party to this agreement, and the Owner has the right to inspect the motorcycle whenever they require.
6. Dereva ana haki ya kuuliza au kupewa nakala ya malipo yake anayofanya yani marejesho ataomba na ana haki ya kupewa.	6. The Driver has the right to ask for or be given a copy of the payments (remittances) they make, upon request, and has the right to be given one.
7. Dereva asipo timiza hayo masharti mmiliki ana haki ya kuchukua chombo chake na mkataba utavunjwa, ama endapo mmiliki na dereva watashindwa kusimamia makubaliano haya mkataba utavunjika mara moja.	7. If the Driver fails to fulfil those terms, the Owner has the right to take back their vehicle and the agreement shall be terminated, or if the Owner and the Driver fail to uphold this agreement it shall terminate immediately.
8. Dereva akiwa amekwisha maliza malipo yake yote sawa na makubaliano ya mkataba huu anatakiwa afatilie au afanye yafuatayo;	8. Once the Driver has finished all their payments in accordance with this agreement, the following shall be followed or done;
Mmiliki anatakiwa kumkabidhi pikipiki, kadi asili (original) pamoja na funguo ya ziada.	The Owner shall hand over the motorcycle, the original card (registration card), together with a spare key.
Mmiliki akishakabidhi kila kitu kilichotajwa hapo juu, dereva anatakiwa kubadili jina la kadi haraka iwezekanavyo kwa gharama zake binafsi.	Once the Owner has handed over everything mentioned above, the Driver shall change the name on the card as soon as possible, at their own personal cost.
